label,summary
1,The CMA is investigating the completed acquisition by PUG LLC (viagogo) of the StubHub business of eBay Inc.
0,The CMA is requiring viagogo to sell all of StubHub’s business outside North America after its in-depth investigation identified competition concerns.
1,"The CMA is investigating the anticipated acquisition by Uber International B.V., a wholly owned subsidiary of Uber Technologies, Inc., of GPC Computer Software Limited and its subsidiaries (Autocab)."
0,Ofwat has made 4 references from water companies to the CMA for a redetermination following its 2019 price review.
1,The CMA is investigating the completed acquisition of GBST Holdings Limited by FNZ (Australia) Bidco Pty Ltd.
1,"The CMA investigated and cleared the completed acquisition by Sonoco Products Company, Inc of Can Packaging SAS."
0,The CMA is proposing to introduce new guidance to cover its activities in monitoring and enforcing compliance with final merger and market undertakings and orders. 
0,This guidance concerns the CMA's activities in monitoring and enforcing compliance with final merger and market undertakings and orders.
0,"The CMA has cautioned companies supplying goods and services to disabled university students, following concerns that there may have been price-fixing."
0,A CMA co-ordinated global review of randomly selected websites has so far found that 40% of green claims made online could be misleading consumers.
1,"The CMA is investigating the completed acquisition by Facebook, Inc of Giphy, Inc."
1,The CMA is investigating the anticipated merger between Crowdcube Limited and Seedrs Limited.
0,The CMA has today issued information to help businesses achieve environmental sustainability goals whilst staying on the right side of competition law.
0,Information to help businesses and trade associations better understand how competition law applies to sustainability agreements.
0,The CMA is investigating alleged anti-competitive agreements in the pharmaceutical sector under Chapter I CA98 (case reference: 50511-2).
0,The CMA has granted SSE permission to appeal Ofgem’s decisions to accept code modifications on charges to generators for the electricity transmission system.
1,The CMA is investigating the completed acquisition of 3G Truck & Trailer Parts Limited by TVS Europe Distribution Limited.
1,"The CMA is investigating the anticipated joint venture between Liberty Global plc and Telefónica S.A to merge their UK operating businesses Virgin Media/Virgin Mobile and O2, respectively."
1,The CMA is investigating the anticipated acquisition by Bellis Acquisition Company 3 Limited of Asda Group Limited following the European Commission’s decision to refer the case to the United Kingdom under Article 4(4) of th…
0,Find reports and updates on current and historical CMA investigations
0,"The CMA has published new research on algorithms, showing how they can reduce competition in digital markets and harm consumers if they are misused."
0,The CMA is inviting views and evidence on the harms outlined in its paper on algorithms and information on specific issues with firms that the CMA could examine and consider for future action. 
0,"Paper from the CMA's Data, Technology and Analytics (DaTA) Unit, identifying potential harms to competition and consumers from the use of algorithms."
1,The CMA is investigating the anticipated acquisition by Tronox Holdings plc of TiZir Titanium and Iron A.S.
1,"The CMA no longer intends to refer the merger of TTI and Tronox to an in-depth investigation, after Tronox’s announcement to abandon the deal."
0,The minutes of the CMA board meeting on 9 December 2020.
1,The CMA will require TVS Europe Distribution to sell 3G in order to protect competition in the commercial vehicle and trailer parts sector.
1,"The CMA is investigating the anticipated acquisition by Graco BV of Hi-Tech Spray Equipment, S.A."
